nct_id,control,redacted,treat
NCT00034840,123,NA,122
NCT00046254,4295,NA,4303
NCT00049829,18357,NA,18204
NCT00051558,214,NA,215
NCT00064428,2835,NA,2823
NCT00100620,1251,NA,1248
NCT00106535,351,NA,399
NCT00115622,151,NA,152
NCT00116831,339,NA,333
NCT00117325,173,NA,179
NCT00118703,175,NA,173
NCT00118729,191,NA,192
NCT00123903,50,NA,57
NCT00125918,82,NA,79
NCT00133198,86,NA,90
NCT00139815,10021,NA,10057
NCT00144508,148,NA,158
NCT00152971,876,NA,862
NCT00153023,442,NA,443
NCT00153088,176,NA,176
NCT00168792,818,NA,836
NCT00168818,1162,NA,1157
NCT00168857,441,NA,419
NCT00197080,195,NA,189
NCT00262600,6022,NA,12091
NCT00273052,278,NA,290
NCT00274599,407,NA,405
NCT00274612,404,NA,397
NCT00289198,151,NA,151
NCT00291330,1284,NA,1280
NCT00314860,290,NA,275
NCT00329238,1431,NA,1435
NCT00329602,207,NA,197
NCT00348140,494,NA,495
NCT00348309,500,NA,499
NCT00363857,194,NA,187
NCT00381472,191,NA,202
NCT00384930,475,NA,369
NCT00402233,77,NA,73
NCT00410384,277,NA,274
NCT00423085,NA,864,NA
NCT00424476,288,NA,290
NCT00428090,166,NA,165
NCT00439244,411,NA,411
NCT00439647,611,NA,588
NCT00464269,99,NA,102
NCT00466167,178,NA,165
NCT00472199,163,NA,168
NCT00479401,103,NA,223
NCT00490035,100,NA,100
NCT00552058,216,NA,223
NCT00558259,665,NA,688
NCT00609674,155,NA,160
NCT00623623,948,NA,967
NCT00657150,1019,NA,1036
NCT00670501,544,NA,552
NCT00680186,1295,NA,1294
NCT00694382,1604,NA,1609
NCT00734474,177,NA,304
NCT00783718,149,NA,498
NCT00827242,164,NA,161
NCT00848081,160,NA,158
NCT00855582,200,NA,208
NCT00856284,874,NA,885
NCT00861757,158,NA,158
NCT00926289,294,NA,598
NCT00968708,2698,NA,2712
NCT00970632,172,NA,171
NCT01007435,289,NA,528
NCT01064687,17,NA,279
NCT01075282,273,NA,276
NCT01087762,21,NA,107
NCT01087788,31,NA,135
NCT01119859,163,NA,163
NCT01126580,268,NA,269
NCT01159912,117,NA,116
NCT01164501,321,NA,322
NCT01181895,116,NA,115
NCT01191268,298,NA,299
NCT01209702,51,NA,51
NCT01224171,207,NA,209
NCT01232569,219,NA,437
NCT01264939,84,NA,252
NCT01287117,80,NA,81
NCT01292473,79,NA,79
NCT01316900,209,NA,216
NCT01316913,222,NA,217
NCT01335464,205,NA,309
NCT01335477,219,NA,330
NCT01358578,42,NA,327
NCT01365455,34,NA,245
NCT01370005,272,NA,277
NCT01436110,116,NA,118
NCT01474512,431,NA,433
NCT01597245,168,NA,351
NCT01624259,300,NA,299
NCT01646177,193,NA,385
NCT01691521,193,NA,193
NCT01719003,171,NA,53
NCT01769378,60,NA,240
NCT01772134,207,NA,206
NCT01916226,170,NA,170
NCT01957163,206,NA,207
NCT02119286,206,NA,208
NCT02172586,180,NA,182
NCT02175355,211,NA,207
NCT02177344,58,NA,177
NCT02177396,212,NA,214
NCT02177461,182,NA,192
NCT02181985,NA,6116,NA
NCT02181998,NA,1639,NA
NCT02183064,655,NA,666
NCT02236611,520,NA,517
NCT02242318,105,NA,115
