condition,outcome,intervention,comparator,n_trials,a_arm,b_como_cnt,c_arm_como_cnt_unad,d_arm_como_cnt_adj
Migraine,no.headaches,Topiramate (N03AX11),Placebo,5,0.82 (0.65-1.02),1.03 (0.93-1.17),1.02 (0.83-1.21),1.03 (0.85-1.22)
Osteoporosis,Fracture of VERT,Teriparatide (H05AA02),Placebo,1,0.40 (0.14-1.21),1.05 (0.89-1.24),0.89 (0.59-1.33),0.87 (0.58-1.30)
Osteoporosis,Fracture of VERT,Zoledronic acid (M05BA08),Placebo,2,0.42 (0.21-0.82),1.11 (1.02-1.21),0.95 (0.77-1.18),0.96 (0.79-1.17)
primary prevention,bleeding,Dabigatran (B01AE07),LMWH (B01AB),2,0.88 (0.74-1.02),0.93 (0.90-0.96),1.05 (1.00-1.11),1.06 (1.00-1.12)
primary prevention,bleeding,Dabigatran (B01AE07),Warfarin (B01AA03),1,0.83 (0.77-0.89),1.22 (1.19-1.24),1.01 (0.97-1.05),1.00 (0.96-1.04)
primary prevention,bleeding,Semuloparin (B01AB),Placebo,1,1.24 (0.72-2.15),6.64 (0.91-48.29),NA,NA
primary prevention,dvt/dvt or pe,Dabigatran (B01AE07),LMWH (B01AB),3,0.63 (0.38-1.09),1.03 (0.94-1.13),1.10 (0.92-1.31),1.07 (0.89-1.26)
primary prevention,dvt/dvt or pe,Semuloparin (B01AB),Placebo,1,0.28 (0.15-0.52),NA,NA,NA
secondary prevention,bleeding,Dabigatran (B01AE07),Placebo,1,2.13 (1.23-3.69),1.35 (1.19-1.52),0.88 (0.70-1.11),0.82 (0.64-1.05)
secondary prevention,bleeding,Dabigatran (B01AE07),Warfarin (B01AA03),1,0.68 (0.55-0.84),1.17 (1.11-1.24),1.06 (0.95-1.17),1.06 (0.94-1.19)
secondary prevention,dvt/dvt or pe,Dabigatran (B01AE07),Placebo,1,0.31 (0.13-0.71),1.09 (0.89-1.34),1.00 (0.65-1.54),0.96 (0.60-1.54)
secondary prevention,dvt/dvt or pe,Dabigatran (B01AE07),Warfarin (B01AA03),1,1.21 (0.56-2.59),1.11 (0.87-1.42),0.86 (0.55-1.36),1.05 (0.64-1.70)
treat,bleeding,Dabigatran (B01AE07),Warfarin (B01AA03),2,0.88 (0.71-1.10),1.06 (1.01-1.11),0.99 (0.91-1.09),1.00 (0.90-1.10)
treat,dvt/dvt or pe,Dabigatran (B01AE07),Warfarin (B01AA03),2,1.35 (0.98-1.87),0.96 (0.88-1.05),0.86 (0.72-1.03),0.91 (0.75-1.10)
